"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Quantity","Price","Value","Tags"
"Elgato CAM LINK 4K","Elgato","CAM LINK 4K","FX13J1A01512","Computer Peripherals","(unspecified)","(uncollected)","Excellent","(unassigned)","CORSAIR.com","4/1/20","1","$141.69","$129.99",
"512GB microSD card U1","SanDisk","Ultra","1421DXKH1088","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Anker 347 Power Bank","Anker","PowerCore 40K","AKFW7J0D07302100","Power banks","(unspecified)","Power banks","(unspecified)","(unassigned)","Amazon.com","6/30/23","1","$85.69","$99.99","LiPo"
"PlayStation 5","Sony",,,"Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)",,,"1",,,
"Apple TV 4K 64GB","Apple","MP7P2LL/A","C07ZKB6ZHNM4","Electronics","Kitchen","Apple products","(unspecified)","(unassigned)","Apple.com","12/30/19","1","$199.00","$199.00",
"PeakDesign Mobile Everyday Fabric Case iPhone 12 Pro Max Charcoal","PeakDesign","M-MC-AG-CH-1","DZLAZ37C03233","(uncategorized)","(unspecified)","PeakDesign Mobile","(unspecified)","(unassigned)","Kickstarter","10/13/21","1",,,
"512GB microSD card U3","SanDisk","Extreme","1481YCGKX3F2","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"PeakDesign Mobile Tripod","PeakDesign","Mobile Tripod","DABAZ49C06360","(uncategorized)","(unspecified)","PeakDesign Mobile","Excellent","(unassigned)",,"12/3/21","1",,,
"AirPods Pro with Wireless Charging Case","Apple","AirPods Pro","GX7ZVPQ8LKKT","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple","12/26/19","1","$231.08","$249.00","Apple"
"One Fast Cat Wheel","One Fast Cat","5th Gen Wheel",,"Pet stuff","Bedroom 2 → XH Bedroom","🍙","Fair","(unassigned)","onefastcat.com","7/7/20","1","$216.91","$249.00",
"Sony a7R3","Sony","ILCE7RM3","3371074","Photography Equipment","(unspecified)","Photography stuff","Excellent","(unassigned)","Amazon.com","11/2/17","1","$3,397.88","$3,198.00",
"400GB microSD card U3","SanDisk","Extreme","0237YVGYDOM5","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Bambu Lab AMS 1","Bambu Lab","AMS","00600A332201636","(uncategorized)","Garage → Workbench","3D Printing","Good","(unassigned)","Bambu Lab","5/9/23","1","$398.84","$349.00",
"Secretlab TITAN 2020","SecretLab","TITAN 2020, SoftWeave Fabric, Charcoal Blue","03113004US","Furniture","Garage → XH Office","Gaming stuff","Excellent","(unassigned)","https://secretlab.co","7/8/19","1","$460.10","$429.00",
"T.REX Ironside Holster P320","T.REX","Ironside",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","trex-arms.com","1/25/24","1",,,
"Apple Watch S4 Stainless Steel 44MM","Apple","WATCH SERIES 4(CELL), DARK SS,44MM-USA","FH7XG61ZKDTD","Electronics","(unspecified)","Apple products","Sold","(unassigned)","Apple.com","10/6/18","1","$749.00","$749.00","Apple"
"Boosted Board V2+","Boosted Board","V2+","S27441554","Automotive","Garage","Mobility","Fair","(unassigned)","boostedboards.com","3/15/18","1","$999.00","$1,599.00",
"T.REX Raptor Holster P365","T.REX","Raptor",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","trex-arms.com","9/20/24","1",,,
"Carbon Fiber Travel Tripod","PeakDesign","Carbon Fiber Travel Tripod","ABBAF51A02793","Photography Equipment","(unspecified)","Photography stuff","(unspecified)","(unassigned)",,"5/22/19","1",,,
"Skywin Airsoft Claymore","Skywin",,,"Airsoft","(unspecified)","(uncollected)","Unopened","(unassigned)","Amazon.com","5/27/23","1","$53.46","$48.99","Amazon listing vanished"
"Apple Watch Ultra","Apple","Watch Ultra GPS + Cellular, 49mm Titanium Case with Orange Alpine Loop - Medium","G3MK3Q6YWQ","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple EPP","9/7/22","1","$655.16","$599.00",
"Sony FE 16-35mm F2.8 GM","Sony","SEL1635GM",,"Photography Equipment","(unspecified)","Photography stuff","Excellent","(unassigned)","Amazon.com","11/2/17","1","$2,335.38","$2,198.00",
"BambuLab X1C","BambuLab","X1 Carbon","00M00A2C0618624","Appliances","Garage → Workbench","3D Printing","Good","(unassigned)","BambuLab","1/25/23","1","$1,616.22","$1,449.00",
"Rangefinder 6.5X Magnification 700/1000Y","LANCERGEAR","Xtra Camo 1000Y",,"Airsoft","(unspecified)","Tactical Optics","(unspecified)","(unassigned)","Amazon.com","4/8/23","1","$141.85","$129.99",
"Mac mini","Apple","MAC MINI SG","H2WGN00QPJJ9","Computer Hardware","(unspecified)","Apple products","Excellent","(unassigned)","Apple.com","10/30/21","1","$1,730.76","$2,759.00",
"Space Bullet Space Pen","Fisher","400B","400B","Office Equipment","On the way","(uncollected)","Excellent","(unassigned)","amazon.com/gp/product/B000WGD13U","3/17/17","1","$19.88","$22.00",
"Apple Watch Edition Series 6 Titanium","Apple","Watch Edition Series 6",,"Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","apple.com","9/15/20","1","$979.91","$899.00",
"64GB microSD card U3","SanDisk","Extreme Pro","6174DLK1XOUM","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"iPhone SE 2nd gen","Apple","MXCY2LL/A | IPHONE SE 2ND GEN,NA,128GB,RED","FFMCK07TPLK1","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple.com","4/17/20","1","$638.41","$598.00","Apple"
"Boosted Board Mini X","Boosted Board","Mini X",,"Automotive","Garage","Mobility","Excellent","(unassigned)","boostedboards.com","9/18/18","1","$1,088.92","$999.00",
"Razor IWB Holster - Sig P226R - Black - Right","Blade-Tech Industries","HOLX000402294788",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","shop.blade-tech.com","10/15/13","1",,,
"Sony a7R2","Sony","ILCE7RM2",,"Photography Equipment","(unspecified)","Photography stuff","Fair","(unassigned)","Amazon.com","1/21/17","1","$3,079.13","$2,898.00",
"Kindle 6"" Wi-Fi","Amazon","Kindle 6""","90C6070651830BAJ","Electronics","(unspecified)","(uncollected)","Excellent","(unassigned)","amazon.com/dp/B00KDRPW76","7/15/15","1","$75.04","$99.00",
"Apple Watch S3 Edition (Ceramic)","Apple","WATCH SERIES 3 EDITION(C),GRAY,42MM-LL","FH7VD0HPJ6GM","Electronics","(unspecified)","Apple products","Fair","(unassigned)","Apple","9/15/17","1","$1,349.00","$1,349.00","Apple"
"Bambu Lab AMS 0 (with X1C combo)","Bambu Lab","AMS","00600A2C0508396","(uncategorized)","Garage → Workbench","3D Printing","Good","(unassigned)","Bambu Lab","1/25/23","1",,,
"iPad Pro 2nd gen 11"" Wi-Fi + Cellular","Apple","MU1K2LL/A | IPAD PRO,11,CELL,NA,512GB,GRAY","DMPXK24ZKD8P","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple.com","11/2/18","1","$1,299.00","$1,299.00","Apple"
"iPhone 12 Pro Max","Apple","MGCT3LL/A | iPhone 12 Pro Max","F2LDMG450D4C","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","apple.com","11/6/20","1","$1,423.91","$1,399.00",
"LG TV 65"" 8K","LG","65QNED99UPA",,"Electronics","Living room","(uncollected)","(unspecified)","(unassigned)","Amazon.com","12/1/21","1","$2,730.84","$2,496.99",
"Sony a7R4","Sony","ILCE7RM4","3391187","Photography Equipment","(unspecified)","Photography stuff","Excellent","(unassigned)","Amazon.com","10/14/20","1","$3,256.92","$3,499.99",
"82mm / 6-9 Stop VND | Peter McKinnon Edition","PolarPro","82mm / 6-9 Stop Filter",,"Photography Equipment","(unspecified)","Photography stuff","(unspecified)","(unassigned)","polarprofilters.com","10/11/20","1","$321.74","$299.99",
"T.REX Ironside Hybrid Holster Hellcat Pro","T.REX","Ironside Hybrid",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","trex-arms.com","4/23/24","1",,,
"Bambu Lab AMS 2","Bambu Lab","AMS","00600A432343257","(uncategorized)","Garage → Workbench","3D Printing","Good","(unassigned)","Bambu Lab","6/6/24","1","$344.29","$349.00",
"Boosted Board V2+ X","Boosted Board","V2+","S26441659","Automotive","Garage","Mobility","Fair","(unassigned)","boostedboards.com","1/24/17","1","$1,599.00","$1,599.00",
"Shargeek STORM2 Slim 130W 20,000mAh","Shargeek","STM2E-1",,"Power banks","(unspecified)","Power banks","(unspecified)","(unassigned)","Amazon.com","7/2/23","1","$136.43","$199.99","LiPo"
"IRWIN VISE-GRIP Convertible Snap Ring Pliers, 6-1/2-Inch","IRWIN","2078900",,"Tools","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","4/12/23","1",,,
